Date,Open,High,Low,Close,Volume,Adj Close
5/4/2017,81.95,81.95,81.4,81.8,1879800,81.8
5/3/2017,81.75,81.75,81.75,81.75,0,81.75
5/2/2017,82.3,82.35,81.2,81.75,1960800,81.75
5/1/2017,82.05,82.05,82.05,82.05,0,82.05
4/28/2017,81.6,82.05,81.2,82.05,2057300,82.05
4/27/2017,81.55,82.1,81,82.1,3730200,82.1
4/26/2017,80.8,81.95,80.55,81.55,3814400,81.55
4/25/2017,80.15,80.8,80.15,80.8,2130200,80.8
4/24/2017,80.2,80.25,79.1,79.55,1787500,79.55
4/21/2017,80,80.15,79.5,79.65,1888500,79.65
4/20/2017,79,79.8,78.85,79.8,1942200,79.8
4/19/2017,79.8,80.1,79,79.35,4085900,79.35
4/18/2017,81.2,81.4,80.05,80.25,3044900,80.25
4/17/2017,81.75,81.75,81.75,81.75,0,81.75
4/14/2017,81.75,81.75,81.75,81.75,0,81.75
4/13/2017,82.1,82.1,81.55,81.75,1157500,81.75
4/12/2017,81.05,82.25,81.05,82.25,2522800,82.25
4/11/2017,82,82.2,81.15,81.2,2883500,81.2
4/10/2017,82.35,82.5,81.85,82.45,1467600,82.45
4/7/2017,82.3,82.3,81,82.2,2144500,82.2
4/6/2017,82.15,82.35,81.8,82.3,1743300,82.3
4/5/2017,82,82.25,81.3,82.15,3622700,82.15
4/4/2017,82,82,82,82,0,82
4/3/2017,82,82,81.25,82,2726300,82
3/31/2017,81.75,81.95,81.25,81.25,2989700,81.25
3/30/2017,81.4,81.95,80.75,81.95,3225300,81.95
3/29/2017,81.35,81.35,80.7,81.35,2509000,81.35
3/28/2017,80.35,81.3,80.35,81.3,3442600,81.3
3/27/2017,80.1,81,80.1,80.9,2270300,80.9
3/24/2017,80.7,80.7,80.3,80.6,2187200,80.6
3/23/2017,80.5,80.5,80.05,80.45,2395200,80.45
3/22/2017,80.5,80.5,79.75,80.35,2917000,80.35
3/21/2017,80.25,80.5,79.75,80.5,3587900,80.5
3/20/2017,79.5,80.15,79.5,80.15,4153200,80.15
3/17/2017,79.2,79.4,78.65,79.4,9673100,79.4
3/16/2017,79.15,79.5,78.5,79.1,5124300,79.1
3/15/2017,77.8,78.05,77.15,78,4361500,78
3/14/2017,77.05,77.1,76.7,77.05,2907600,77.05
3/13/2017,78,78,76.55,77,3993400,77
3/10/2017,78.5,78.65,77.65,77.75,2433600,77.75
3/9/2017,79.05,79.5,78.6,78.8,2897100,77.71
3/8/2017,79.95,79.95,79,79.65,2680300,78.548
3/7/2017,79.95,79.95,79.35,79.35,2267500,78.252
3/6/2017,79.5,79.85,79.3,79.85,1478600,78.745
3/3/2017,80,80,79.05,79.2,1992900,78.104
3/2/2017,79.7,79.8,79.15,79.75,2957700,78.647
3/1/2017,78.95,79.7,78.95,79.7,2960900,78.598
2/28/2017,78.5,79.4,78.4,78.95,5323300,77.858
2/27/2017,78,78.2,77.45,78.2,1694700,77.118
2/24/2017,77.95,78,77.5,77.85,2419900,76.773
2/23/2017,78.25,78.25,77.25,78.2,2220200,77.118
2/22/2017,77.75,78,77.45,77.8,2608900,76.724
2/21/2017,77.8,78,77.5,77.8,2509800,76.724
2/20/2017,77.25,77.7,77.15,77.4,1485800,76.329
2/17/2017,76.75,77.25,76.55,77.1,2752100,76.034
