Date,Open,High,Low,Close,Adj Close,Volume
2015-11-06,70.500000,73.400002,67.000000,70.400002,68.967163,22781516
2015-11-09,67.750000,68.000000,66.900002,66.949997,65.587379,10010231
2015-11-10,66.500000,66.500000,64.099998,64.550003,63.236233,10736961
2015-11-13,65.849998,65.849998,63.000000,63.500000,62.207600,6771668
2015-11-16,63.450001,65.500000,62.000000,65.000000,63.677071,5640610
2015-11-17,65.000000,65.900002,64.099998,64.699997,63.383171,4900495
2015-11-18,null,null,null,null,null,null
2015-11-19,null,null,null,null,null,null
2015-11-20,63.549999,66.000000,63.500000,65.199997,63.872997,2689835
2015-11-23,66.400002,66.900002,63.500000,63.799999,62.501492,5389969
2015-11-24,63.500000,64.400002,62.500000,62.950001,61.668793,3965947
2015-11-26,62.900002,63.400002,61.500000,61.650002,60.395252,3270314
2015-11-27,62.250000,62.500000,60.599998,61.000000,59.758480,11891846
2015-11-30,61.000000,61.299999,58.799999,59.099998,57.897148,14279742
2015-12-01,59.500000,61.000000,59.250000,60.000000,58.778831,8080475
2015-12-02,null,null,null,null,null,null
2015-12-03,60.250000,61.000000,60.000000,60.549999,59.317638,1759788
2015-12-04,60.400002,60.950001,60.099998,60.500000,59.268658,2315577
2015-12-07,60.150002,60.900002,59.200001,59.450001,58.240028,2506784
2015-12-08,59.500000,59.700001,57.500000,57.700001,56.525646,5021161
2015-12-09,57.500000,57.750000,54.900002,56.849998,55.692944,3845559
2015-12-10,56.849998,57.450001,54.900002,56.849998,55.692944,4065888
2015-12-11,57.500000,57.900002,55.099998,55.299999,54.174492,2150514
2015-12-14,55.099998,56.000000,54.049999,55.750000,54.615334,2469970
2015-12-15,56.400002,56.400002,55.049999,55.500000,54.370422,1200925
2015-12-16,56.299999,56.700001,55.500000,56.049999,54.909225,2565897
2015-12-17,56.750000,59.799999,56.349998,58.049999,56.868519,4120544
2015-12-18,57.900002,58.799999,56.799999,58.400002,57.211399,1948073
2015-12-21,58.099998,58.500000,57.049999,57.450001,56.280735,2030444
2015-12-22,58.349998,59.500000,57.299999,59.299999,58.093079,3471327
2015-12-23,59.950001,61.450001,59.000000,59.299999,58.093079,3113367
2015-12-24,null,null,null,null,null,null
2015-12-28,null,null,null,null,null,null
2015-12-29,null,null,null,null,null,null
2015-12-30,null,null,null,null,null,null
2015-12-31,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-01-04,null,null,null,null,null,null
2016-01-05,null,null,null,null,null,null
2016-01-06,null,null,null,null,null,null
