@relation 0002-TRAINING

@attribute 'HIGHCHG' numeric
@attribute 'LOWCHG' numeric
@attribute 'CLOSECHG' numeric
@attribute 'VOLUMECHG' numeric
@attribute 'ADJ CLOSECHG' numeric
@attribute 'CLOSEOPENCHG' numeric
@attribute 'LV52' numeric
@attribute 'LV52CHG' numeric
@attribute 'SMA5CHG' numeric
@attribute 'CLOSESMA5CHG' numeric
@attribute 'SMA10CHG' numeric
@attribute 'CLOSESMA10CHG' numeric
@attribute 'SMA20CHG' numeric
@attribute 'CLOSESMA20CHG' numeric
@attribute 'SMA50CHG' numeric
@attribute 'CLOSESMA50CHG' numeric
@attribute 'SMA100CHG' numeric
@attribute 'CLOSESMA100CHG' numeric
@attribute 'SMA200CHG' numeric
@attribute 'CLOSESMA200CHG' numeric
@attribute 'RSI9' numeric
@attribute 'RSI9CHG' numeric
@attribute 'RSI11' numeric
@attribute 'RSI11CHG' numeric
@attribute 'RSI14' numeric
@attribute 'RSI14CHG' numeric
@attribute 'RSI25' numeric
@attribute 'RSI25CHG' numeric
@attribute 'MACD[12+ 26+ 9]+' numeric
@attribute 'B-BAND20' numeric
@attribute 'B-BAND20CHG' numeric
@attribute 'ROC20' numeric
@attribute 'ROC20CHG' numeric
@attribute 'HIGHLOWCHG' numeric
@attribute 'LTREND' numeric
@attribute 'LTRENDCHG' numeric
@attribute 'TREND' numeric
@attribute 'TRENDCHG' numeric
@attribute 'HIGH_RESULT' numeric
@attribute 'LOW_RESULT' numeric

@data
0.9974,1.0107,1.0026,0.4327,1.0026,2.04,1.0,1.0,1.0097,1.007,1.0027,1.0001,1.0026,1.0,1.0018,0.9992,1.0008,0.9982,1.0004,0.9978,65.6123,1.0132,64.5669,1.0118,63.4278,1.0102,60.6494,1.0072,-0.3877,1.8097,1.296,5.2055,0.9448,1.0133,0.0,1.0,1.0,1.0026,1.0,0.9894
1.0,0.9894,0.9896,0.3313,0.9896,2.04,0.96,0.9577,1.0053,1.0159,1.0013,1.0119,1.002,1.0126,1.0016,1.0121,1.0008,1.0113,1.0006,1.0111,59.1422,0.9014,59.1529,0.9161,59.0358,0.9308,58.0145,0.9566,-0.4053,1.6291,0.9002,4.1096,0.7895,0.9894,1.0,1.0026,-1.0,0.9896,1.0026,1.0133
1.0026,1.0133,1.0105,3.1942,1.0105,2.06,1.0,1.0442,1.0095,0.999,1.0019,0.9914,1.0023,0.9918,1.0014,0.9909,1.001,0.9905,1.0007,0.9902,63.2222,1.069,62.6023,1.0583,61.8785,1.0482,59.8323,1.0313,-0.4262,2.0082,1.2328,4.6322,1.1272,1.0107,-1.0,0.9896,1.0,1.0105,1.0104,1.0053
1.0104,1.0053,1.013,0.9679,1.013,2.06,1.0,1.0,1.0068,0.9939,1.0019,0.989,1.0034,0.9905,1.0015,0.9886,1.0011,0.9882,1.0007,0.9879,67.7509,1.0716,66.493,1.0621,65.1355,1.0526,61.9759,1.0358,-0.455,1.1486,0.572,6.8681,1.4827,0.9949,1.0,1.0105,2.0,1.0237,1.0,1.0183
1.0,1.0183,1.0,0.0,1.0,2.04,1.0,1.0,1.0031,1.0031,1.0034,1.0034,1.0035,1.0035,1.0017,1.0017,1.001,1.001,1.0006,1.0006,67.7509,1.0,66.493,1.0,65.1355,1.0,61.9759,1.0,-0.4862,0.8053,0.7011,7.1625,1.0429,1.0183,2.0,1.0237,3.0,1.0237,1.0,0.9794
1.0,0.9794,0.9794,0.9794,0.9794,2.04,0.92,0.9196,0.9984,1.0194,1.004,1.025,1.0025,1.0236,1.0014,1.0224,1.0008,1.0218,1.0004,1.0214,54.2289,0.8004,55.3457,0.8324,56.2222,0.8632,56.7208,0.9152,-0.5035,0.4566,0.567,5.2486,0.7328,0.9794,3.0,1.0237,-1.0,0.9794,0.9923,0.9895
0.9923,0.9895,1.0131,2.7834,1.0131,2.06,0.97,1.0546,1.0031,0.9901,1.0042,0.9912,1.0025,0.9895,1.002,0.989,1.0009,0.988,1.0005,0.9875,59.8616,1.1039,59.9605,1.0834,59.9143,1.0657,58.985,1.0399,-0.5179,1.685,3.6903,5.1771,0.9864,0.9972,-1.0,0.9794,1.0,1.0131,1.0078,0.9841
1.0078,0.9841,0.9689,3.6584,0.9689,2.05,0.85,0.8756,0.9948,1.0267,1.0021,1.0342,1.0005,1.0326,1.0009,1.033,1.0006,1.0327,1.0004,1.0325,44.932,0.7506,47.108,0.7856,49.1915,0.821,52.1627,0.8843,-0.5095,2.1042,1.2488,1.0811,0.2088,0.9765,1.0,1.0131,-1.0,0.9689,0.9692,1.0081
0.9692,1.0081,1.0027,1.0632,1.0027,2.05,0.86,1.0118,0.9927,0.9901,0.9997,0.9971,1.0013,0.9987,1.0011,0.9984,1.0007,0.998,1.0003,0.9977,46.1902,1.028,48.1272,1.0216,49.9947,1.0163,52.6382,1.0091,-0.4876,0.7679,0.3649,2.7397,2.5342,1.0402,-1.0,0.9689,1.0,1.0027,1.0,1.0
1.0,1.0,1.0,0.4901,1.0,2.05,0.86,1.0,0.9927,0.9927,0.9979,0.9979,1.0011,1.0011,1.0008,1.0008,1.0007,1.0007,1.0004,1.0004,46.1902,1.0,48.1272,1.0,49.9947,1.0,52.6382,1.0,-0.4573,1.1595,1.5099,2.1798,0.7956,1.0,1.0,1.0027,2.0,1.0027,1.0212,1.0027
